Yard Line,4th & 1: GFI,4th & 1: P,4th & 1: FG,4th & 2: GFI,4th & 2: P,4th & 2: FG,4th & 3: GFI,4th & 3: P,4th & 3: FG,4th & 4: GFI,4th & 4: P,4th & 4: FG,4th & 5: GFI,4th & 5: P,4th & 5: FG,4th & 6: GFI,4th & 6: P,4th & 6: FG,4th & 7: GFI,4th & 7: P,4th & 7: FG,4th & 8: GFI,4th & 8: P,4th & 8: FG,4th & 9: GFI,4th & 9: P,4th & 9: FG,4th & 10: GFI,4th & 10: P,4th & 10: FG,4th & 11: GFI,4th & 11: FG,4th & 11: P,4th & 12: GFI,4th & 12: P,4th & 12: FG,4th & 13: GFI,4th & 13: P,4th & 13: FG,4th & 14: GFI,4th & 14: P,4th & 14: FG,4th & 15: GFI,4th & 15: P,4th & 15: FG
23,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
24,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
25,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
26,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
27,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
28,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
29,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
30,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
31,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
32,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
33,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
34,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
35,6,-1,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
36,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
37,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
38,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
39,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
40,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
41,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
42,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
43,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
44,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
45,6,-1,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
46,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
47,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
48,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
49,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
50,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
51,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
52,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
53,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
54,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
55,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
56,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
57,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
58,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
59,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
60,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
61,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
62,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
63,-1,-1,6,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,-1,6,-1,6,-1,-1,6,-1,-1,-1,6,-1,-1,6,-1,
